LastTimeWithData,ti,Time,Predict,Real
2023-11-17 18:00:00,3,2023-11-17 19:30:00,1.5879629629629628,3.0
2023-11-17 18:00:00,4,2023-11-17 20:00:00,1.3526234567901234,2.0
2023-11-17 18:00:00,5,2023-11-17 20:30:00,1.4113940329218106,1.0
2023-11-17 18:00:00,6,2023-11-17 21:00:00,1.4799597050754458,1.0
2023-11-17 18:30:00,1,2023-11-17 19:00:00,1.3333333333333333,1.0
2023-11-17 18:30:00,2,2023-11-17 19:30:00,1.5555555555555556,3.0
2023-11-17 18:30:00,3,2023-11-17 20:00:00,1.3148148148148149,2.0
2023-11-17 18:30:00,4,2023-11-17 20:30:00,1.367283950617284,1.0
2023-11-17 18:30:00,5,2023-11-17 21:00:00,1.4284979423868311,1.0
2023-11-17 18:30:00,6,2023-11-17 21:30:00,1.4999142661179699,0.0
2023-11-17 19:00:00,1,2023-11-17 19:30:00,1.0,3.0
2023-11-17 19:00:00,2,2023-11-17 20:00:00,0.6666666666666666,2.0
2023-11-17 19:00:00,3,2023-11-17 20:30:00,0.6111111111111112,1.0
2023-11-17 19:00:00,4,2023-11-17 21:00:00,0.5462962962962964,1.0
2023-11-17 19:00:00,5,2023-11-17 21:30:00,0.47067901234567916,0.0
2023-11-17 19:00:00,6,2023-11-17 22:00:00,0.3824588477366257,1.0
2023-11-17 19:30:00,1,2023-11-17 20:00:00,1.3333333333333333,2.0
2023-11-17 19:30:00,2,2023-11-17 20:30:00,1.388888888888889,1.0
2023-11-17 19:30:00,3,2023-11-17 21:00:00,1.453703703703704,1.0
2023-11-17 19:30:00,4,2023-11-17 21:30:00,1.5293209876543212,0.0
2023-11-17 19:30:00,5,2023-11-17 22:00:00,1.6175411522633747,1.0
2023-11-17 19:30:00,6,2023-11-17 22:30:00,1.7204646776406038,2.0
2023-11-17 20:00:00,1,2023-11-17 20:30:00,1.5,1.0
2023-11-17 20:00:00,2,2023-11-17 21:00:00,1.5833333333333333,1.0
2023-11-17 20:00:00,3,2023-11-17 21:30:00,1.6805555555555556,0.0
2023-11-17 20:00:00,4,2023-11-17 22:00:00,1.7939814814814816,1.0
2023-11-17 20:00:00,5,2023-11-17 22:30:00,1.9263117283950617,2.0
2023-11-17 20:00:00,6,2023-11-17 23:00:00,2.0806970164609053,2.0
2023-11-17 20:30:00,1,2023-11-17 21:00:00,1.5,1.0
2023-11-17 20:30:00,2,2023-11-17 21:30:00,1.5833333333333333,0.0
2023-11-17 20:30:00,3,2023-11-17 22:00:00,1.6805555555555556,1.0
2023-11-17 20:30:00,4,2023-11-17 22:30:00,1.7939814814814816,2.0
2023-11-17 20:30:00,5,2023-11-17 23:00:00,1.9263117283950617,2.0
2023-11-17 20:30:00,6,2023-11-17 23:30:00,1.747363683127572,0.0
2023-11-17 21:00:00,1,2023-11-17 21:30:00,1.5,0.0
2023-11-17 21:00:00,2,2023-11-17 22:00:00,1.5833333333333333,1.0
2023-11-17 21:00:00,3,2023-11-17 22:30:00,1.6805555555555556,2.0
2023-11-17 21:00:00,4,2023-11-17 23:00:00,1.7939814814814816,2.0
2023-11-17 21:00:00,5,2023-11-17 23:30:00,1.5929783950617284,0.0
2023-11-17 21:00:00,6,2023-11-18 00:00:00,1.5251414609053497,3.0
2023-11-17 21:30:00,1,2023-11-17 22:00:00,1.3333333333333333,1.0
2023-11-17 21:30:00,2,2023-11-17 22:30:00,1.388888888888889,2.0
2023-11-17 21:30:00,3,2023-11-17 23:00:00,1.453703703703704,2.0
2023-11-17 21:30:00,4,2023-11-17 23:30:00,1.195987654320988,0.0
2023-11-17 21:30:00,5,2023-11-18 00:00:00,1.0619855967078191,3.0
2023-11-17 21:30:00,6,2023-11-18 00:30:00,1.0723165294924557,4.0
2023-11-17 22:00:00,1,2023-11-17 22:30:00,1.3333333333333333,2.0
2023-11-17 22:00:00,2,2023-11-17 23:00:00,1.388888888888889,2.0
2023-11-17 22:00:00,3,2023-11-17 23:30:00,1.1203703703703705,0.0
2023-11-17 22:00:00,4,2023-11-18 00:00:00,0.9737654320987655,3.0
2023-11-17 22:00:00,5,2023-11-18 00:30:00,0.9693930041152266,4.0
2023-11-17 22:00:00,6,2023-11-18 01:00:00,0.964291838134431,3.0
2023-11-17 22:30:00,1,2023-11-17 23:00:00,1.1666666666666667,2.0
2023-11-17 22:30:00,2,2023-11-17 23:30:00,0.861111111111111,0.0
2023-11-17 22:30:00,3,2023-11-18 00:00:00,0.6712962962962962,3.0
2023-11-17 22:30:00,4,2023-11-18 00:30:00,0.6165123456790121,4.0
2023-11-17 22:30:00,5,2023-11-18 01:00:00,0.552597736625514,3.0
2023-11-17 22:30:00,6,2023-11-18 01:30:00,0.644697359396433,3.0
2023-11-17 23:00:00,1,2023-11-17 23:30:00,1.1666666666666667,0.0
2023-11-17 23:00:00,2,2023-11-18 00:00:00,1.0277777777777777,3.0
2023-11-17 23:00:00,3,2023-11-18 00:30:00,1.0324074074074072,4.0
2023-11-17 23:00:00,4,2023-11-18 01:00:00,1.0378086419753085,3.0
2023-11-17 23:00:00,5,2023-11-18 01:30:00,1.2107767489711934,3.0
2023-11-17 23:00:00,6,2023-11-18 02:00:00,1.2459062071330589,2.0
2023-11-17 23:30:00,1,2023-11-18 00:00:00,1.0,3.0
2023-11-17 23:30:00,2,2023-11-18 00:30:00,1.0,4.0
2023-11-17 23:30:00,3,2023-11-18 01:00:00,1.0,3.0
2023-11-17 23:30:00,4,2023-11-18 01:30:00,1.1666666666666667,3.0
2023-11-17 23:30:00,5,2023-11-18 02:00:00,1.1944444444444444,2.0
2023-11-17 23:30:00,6,2023-11-18 02:30:00,1.0601851851851851,2.0
2023-11-18 00:00:00,1,2023-11-18 00:30:00,1.3333333333333333,4.0
2023-11-18 00:00:00,2,2023-11-18 01:00:00,1.388888888888889,3.0
2023-11-18 00:00:00,3,2023-11-18 01:30:00,1.6203703703703705,3.0
2023-11-18 00:00:00,4,2023-11-18 02:00:00,1.7237654320987656,2.0
2023-11-18 00:00:00,5,2023-11-18 02:30:00,1.6777263374485598,2.0
2023-11-18 00:00:00,6,2023-11-18 03:00:00,1.624014060356653,7.0
2023-11-18 00:30:00,1,2023-11-18 01:00:00,2.0,3.0
2023-11-18 00:30:00,2,2023-11-18 01:30:00,2.3333333333333335,3.0
2023-11-18 00:30:00,3,2023-11-18 02:00:00,2.5555555555555554,2.0
2023-11-18 00:30:00,4,2023-11-18 02:30:00,2.6481481481481475,2.0
2023-11-18 00:30:00,5,2023-11-18 03:00:00,2.7561728395061724,7.0
2023-11-18 00:30:00,6,2023-11-18 03:30:00,3.215534979423868,4.0
2023-11-18 01:00:00,1,2023-11-18 01:30:00,2.3333333333333335,3.0
2023-11-18 01:00:00,2,2023-11-18 02:00:00,2.5555555555555554,2.0
2023-11-18 01:00:00,3,2023-11-18 02:30:00,2.6481481481481475,2.0
2023-11-18 01:00:00,4,2023-11-18 03:00:00,2.7561728395061724,7.0
2023-11-18 01:00:00,5,2023-11-18 03:30:00,3.215534979423868,4.0
2023-11-18 01:00:00,6,2023-11-18 04:00:00,3.251457475994513,4.0
2023-11-18 01:30:00,1,2023-11-18 02:00:00,2.5,2.0
2023-11-18 01:30:00,2,2023-11-18 02:30:00,2.5833333333333335,2.0
2023-11-18 01:30:00,3,2023-11-18 03:00:00,2.6805555555555554,7.0
2023-11-18 01:30:00,4,2023-11-18 03:30:00,3.1273148148148144,4.0
2023-11-18 01:30:00,5,2023-11-18 04:00:00,3.148533950617283,4.0
2023-11-18 01:30:00,6,2023-11-18 04:30:00,3.00662294238683,4.0
2023-11-18 02:00:00,1,2023-11-18 02:30:00,2.5,2.0
2023-11-18 02:00:00,2,2023-11-18 03:00:00,2.5833333333333335,7.0
2023-11-18 02:00:00,3,2023-11-18 03:30:00,3.013888888888889,4.0
2023-11-18 02:00:00,4,2023-11-18 04:00:00,3.0162037037037037,4.0
2023-11-18 02:00:00,5,2023-11-18 04:30:00,2.8522376543209873,4.0
2023-11-18 02:00:00,6,2023-11-18 05:00:00,2.8276105967078187,4.0
2023-11-18 02:30:00,1,2023-11-18 03:00:00,2.8333333333333335,7.0
2023-11-18 02:30:00,2,2023-11-18 03:30:00,3.3055555555555554,4.0
2023-11-18 02:30:00,3,2023-11-18 04:00:00,3.356481481481481,4.0
2023-11-18 02:30:00,4,2023-11-18 04:30:00,3.249228395061728,4.0
2023-11-18 02:30:00,5,2023-11-18 05:00:00,3.290766460905349,4.0
2023-11-18 02:30:00,6,2023-11-18 05:30:00,3.3392275377229073,4.0
2023-11-18 03:00:00,1,2023-11-18 03:30:00,3.5,4.0
2023-11-18 03:00:00,2,2023-11-18 04:00:00,3.5833333333333335,4.0
2023-11-18 03:00:00,3,2023-11-18 04:30:00,3.513888888888889,4.0
2023-11-18 03:00:00,4,2023-11-18 05:00:00,3.5995370370370368,4.0
2023-11-18 03:00:00,5,2023-11-18 05:30:00,3.69945987654321,4.0
2023-11-18 03:00:00,6,2023-11-18 06:00:00,3.9827031893004112,5.0
2023-11-18 03:30:00,1,2023-11-18 04:00:00,3.5,4.0
2023-11-18 03:30:00,2,2023-11-18 04:30:00,3.4166666666666665,4.0
2023-11-18 03:30:00,3,2023-11-18 05:00:00,3.486111111111111,4.0
2023-11-18 03:30:00,4,2023-11-18 05:30:00,3.5671296296296298,4.0
2023-11-18 03:30:00,5,2023-11-18 06:00:00,3.828317901234568,5.0
2023-11-18 03:30:00,6,2023-11-18 06:30:00,4.133037551440329,5.0
2023-11-18 04:00:00,1,2023-11-18 04:30:00,3.6666666666666665,4.0
2023-11-18 04:00:00,2,2023-11-18 05:00:00,3.777777777777778,4.0
2023-11-18 04:00:00,3,2023-11-18 05:30:00,3.907407407407408,4.0
2023-11-18 04:00:00,4,2023-11-18 06:00:00,4.225308641975309,5.0
2023-11-18 04:00:00,5,2023-11-18 06:30:00,4.5961934156378605,5.0
2023-11-18 04:00:00,6,2023-11-18 07:00:00,4.195558984910838,7.0
2023-11-18 04:30:00,1,2023-11-18 05:00:00,3.8333333333333335,4.0
2023-11-18 04:30:00,2,2023-11-18 05:30:00,3.972222222222222,4.0
2023-11-18 04:30:00,3,2023-11-18 06:00:00,4.300925925925926,5.0
2023-11-18 04:30:00,4,2023-11-18 06:30:00,4.684413580246914,5.0
2023-11-18 04:30:00,5,2023-11-18 07:00:00,4.298482510288065,7.0
2023-11-18 04:30:00,6,2023-11-18 07:30:00,4.348229595336076,6.0
2023-11-18 05:00:00,1,2023-11-18 05:30:00,4.166666666666667,4.0
2023-11-18 05:00:00,2,2023-11-18 06:00:00,4.527777777777778,5.0
2023-11-18 05:00:00,3,2023-11-18 06:30:00,4.949074074074074,5.0
2023-11-18 05:00:00,4,2023-11-18 07:00:00,4.607253086419753,7.0
2023-11-18 05:00:00,5,2023-11-18 07:30:00,4.708461934156379,6.0
2023-11-18 05:00:00,6,2023-11-18 08:00:00,4.826538923182443,3.0
2023-11-18 05:30:00,1,2023-11-18 06:00:00,4.5,5.0
2023-11-18 05:30:00,2,2023-11-18 06:30:00,4.916666666666667,5.0
2023-11-18 05:30:00,3,2023-11-18 07:00:00,4.569444444444444,7.0
2023-11-18 05:30:00,4,2023-11-18 07:30:00,4.664351851851851,6.0
2023-11-18 05:30:00,5,2023-11-18 08:00:00,4.775077160493827,3.0
2023-11-18 05:30:00,6,2023-11-18 08:30:00,4.904256687242799,2.0
2023-11-18 06:00:00,1,2023-11-18 06:30:00,4.166666666666667,5.0
2023-11-18 06:00:00,2,2023-11-18 07:00:00,3.6944444444444446,7.0
2023-11-18 06:00:00,3,2023-11-18 07:30:00,3.643518518518519,6.0
2023-11-18 06:00:00,4,2023-11-18 08:00:00,3.5841049382716057,3.0
2023-11-18 06:00:00,5,2023-11-18 08:30:00,3.5147890946502063,2.0
2023-11-18 06:00:00,6,2023-11-18 09:00:00,3.433920610425241,0.0
2023-11-18 06:30:00,1,2023-11-18 07:00:00,4.333333333333333,7.0
2023-11-18 06:30:00,2,2023-11-18 07:30:00,4.388888888888888,6.0
2023-11-18 06:30:00,3,2023-11-18 08:00:00,4.453703703703703,3.0
2023-11-18 06:30:00,4,2023-11-18 08:30:00,4.52932098765432,2.0
2023-11-18 06:30:00,5,2023-11-18 09:00:00,4.617541152263374,0.0
2023-11-18 06:30:00,6,2023-11-18 09:30:00,4.720464677640603,0.0
2023-11-18 07:00:00,1,2023-11-18 07:30:00,4.833333333333333,6.0
2023-11-18 07:00:00,2,2023-11-18 08:00:00,4.972222222222222,3.0
2023-11-18 07:00:00,3,2023-11-18 08:30:00,5.1342592592592595,2.0
2023-11-18 07:00:00,4,2023-11-18 09:00:00,5.323302469135803,0.0
2023-11-18 07:00:00,5,2023-11-18 09:30:00,5.543852880658437,0.0
2023-11-18 07:00:00,6,2023-11-18 10:00:00,5.634495027434842,1.0
2023-11-18 07:30:00,1,2023-11-18 08:00:00,5.166666666666667,3.0
2023-11-18 07:30:00,2,2023-11-18 08:30:00,5.361111111111111,2.0
2023-11-18 07:30:00,3,2023-11-18 09:00:00,5.587962962962962,0.0
2023-11-18 07:30:00,4,2023-11-18 09:30:00,5.8526234567901225,0.0
